DEPARTURES_SCHEDULED,DEPARTURES_PERFORMED,SEATS,PASSENGERS,FREIGHT,DISTANCE,AIR_TIME,UNIQUE_CARRIER,UNIQUE_CARRIER_NAME,CARRIER,CARRIER_NAME,ORIGIN,ORIGIN_CITY_NAME,DEST,DEST_CITY_NAME,AIRCRAFT_GROUP,AIRCRAFT_TYPE,YEAR,MONTH,CLASS
15.0,15.0,0.0,0.0,109765.0,431.0,1476.0,FX,Federal Express Corporation,FX,Federal Express Corporation,IND,"Indianapolis, IN",RST,"Rochester, MN",1,110,2020,5,G
15.0,15.0,0.0,0.0,113147.0,431.0,1443.0,FX,Federal Express Corporation,FX,Federal Express Corporation,IND,"Indianapolis, IN",RST,"Rochester, MN",1,110,2020,6,G
15.0,15.0,0.0,0.0,144497.0,602.0,2170.0,FX,Federal Express Corporation,FX,Federal Express Corporation,IND,"Indianapolis, IN",FSD,"Sioux Falls, SD",1,110,2020,12,G
15.0,15.0,0.0,0.0,170016.0,190.0,588.0,5X,United Parcel Service,5X,United Parcel Service,AUS,"Austin, TX",DFW,"Dallas/Fort Worth, TX",6,691,2020,8,G
15.0,15.0,0.0,0.0,310542.0,249.0,602.0,FX,Federal Express Corporation,FX,Federal Express Corporation,IND,"Indianapolis, IN",BNA,"Nashville, TN",6,622,2020,4,G
15.0,15.0,0.0,0.0,375054.0,415.0,979.0,5X,United Parcel Service,5X,United Parcel Service,RDU,"Raleigh/Durham, NC",SDF,"Louisville, KY",6,691,2020,5,G
15.0,15.0,0.0,0.0,377212.0,967.0,1833.0,FX,Federal Express Corporation,FX,Federal Express Corporation,IND,"Indianapolis, IN",PBI,"West Palm Beach/Palm Beach, FL",6,691,2020,12,G
15.0,15.0,0.0,0.0,432011.0,1933.0,3688.0,FX,Federal Express Corporation,FX,Federal Express Corporation,IND,"Indianapolis, IN",OAK,"Oakland, CA",6,622,2020,8,G
15.0,15.0,0.0,0.0,468806.0,377.0,756.0,FX,Federal Express Corporation,FX,Federal Express Corporation,BNA,"Nashville, TN",GSO,"Greensboro/High Point, NC",6,622,2020,11,G
15.0,15.0,0.0,0.0,492343.0,427.0,878.0,FX,Federal Express Corporation,FX,Federal Express Corporation,IND,"Indianapolis, IN",GSO,"Greensboro/High Point, NC",6,622,2020,11,G
15.0,15.0,0.0,0.0,504689.0,803.0,1461.0,FX,Federal Express Corporation,FX,Federal Express Corporation,IND,"Indianapolis, IN",MHT,"Manchester, NH",6,622,2020,12,G
15.0,15.0,0.0,0.0,535540.0,260.0,629.0,FX,Federal Express Corporation,FX,Federal Express Corporation,IND,"Indianapolis, IN",FNT,"Flint, MI",6,622,2020,11,G
15.0,15.0,0.0,0.0,545640.0,578.0,1074.0,FX,Federal Express Corporation,FX,Federal Express Corporation,IND,"Indianapolis, IN",SYR,"Syracuse, NY",6,622,2020,11,G
15.0,15.0,0.0,0.0,547572.0,268.0,672.0,5X,United Parcel Service,5X,United Parcel Service,PIT,"Pittsburgh, PA",PHL,"Philadelphia, PA",6,622,2020,11,G
15.0,15.0,0.0,0.0,578018.0,377.0,755.0,FX,Federal Express Corporation,FX,Federal Express Corporation,BNA,"Nashville, TN",GSO,"Greensboro/High Point, NC",6,622,2020,2,G
15.0,15.0,0.0,0.0,578133.0,652.0,1247.0,FX,Federal Express Corporation,FX,Federal Express Corporation,IND,"Indianapolis, IN",SWF,"Newburgh/Poughkeepsie, NY",6,622,2020,11,G
15.0,15.0,0.0,0.0,593153.0,507.0,976.0,FX,Federal Express Corporation,FX,Federal Express Corporation,IND,"Indianapolis, IN",MDT,"Harrisburg, PA",6,622,2020,11,G
15.0,15.0,0.0,0.0,600762.0,415.0,1010.0,5X,United Parcel Service,5X,United Parcel Service,RDU,"Raleigh/Durham, NC",SDF,"Louisville, KY",7,740,2020,2,G
15.0,15.0,0.0,0.0,616381.0,401.0,852.0,FX,Federal Express Corporation,FX,Federal Express Corporation,IND,"Indianapolis, IN",GSP,"Greer, SC",6,622,2020,11,G
15.0,15.0,0.0,0.0,631342.0,517.0,1156.0,FX,Federal Express Corporation,FX,Federal Express Corporation,IND,"Indianapolis, IN",OMA,"Omaha, NE",6,622,2020,11,G
15.0,15.0,0.0,0.0,650307.0,509.0,962.0,FX,Federal Express Corporation,FX,Federal Express Corporation,IND,"Indianapolis, IN",RIC,"Richmond, VA",6,622,2020,11,G
15.0,15.0,0.0,0.0,654652.0,321.0,779.0,FX,Federal Express Corporation,FX,Federal Express Corporation,IND,"Indianapolis, IN",CID,"Cedar Rapids/Iowa City, IA",6,622,2020,11,G
15.0,15.0,0.0,0.0,654813.0,1877.0,3808.0,FX,Federal Express Corporation,FX,Federal Express Corporation,IND,"Indianapolis, IN",PDX,"Portland, OR",6,622,2020,11,G
15.0,15.0,0.0,0.0,660970.0,687.0,1309.0,FX,Federal Express Corporation,FX,Federal Express Corporation,IND,"Indianapolis, IN",JAX,"Jacksonville, FL",6,622,2020,9,G
15.0,15.0,0.0,0.0,665406.0,297.0,678.0,FX,Federal Express Corporation,FX,Federal Express Corporation,IND,"Indianapolis, IN",TYS,"Knoxville, TN",6,622,2020,5,G
15.0,15.0,0.0,0.0,702193.0,578.0,1142.0,FX,Federal Express Corporation,FX,Federal Express Corporation,IND,"Indianapolis, IN",ABE,"Allentown/Bethlehem/Easton, PA",6,691,2020,11,G
15.0,15.0,0.0,0.0,703087.0,876.0,1573.0,5X,United Parcel Service,5X,United Parcel Service,AUS,"Austin, TX",SDF,"Louisville, KY",6,691,2020,10,G
15.0,15.0,0.0,0.0,715703.0,876.0,1579.0,5X,United Parcel Service,5X,United Parcel Service,AUS,"Austin, TX",SDF,"Louisville, KY",6,691,2020,9,G
15.0,15.0,0.0,0.0,734903.0,432.0,1008.0,FX,Federal Express Corporation,FX,Federal Express Corporation,IND,"Indianapolis, IN",ATL,"Atlanta, GA",6,691,2020,12,G
15.0,15.0,0.0,0.0,736344.0,249.0,715.0,FX,Federal Express Corporation,FX,Federal Express Corporation,BNA,"Nashville, TN",IND,"Indianapolis, IN",6,691,2020,11,G
15.0,15.0,0.0,0.0,738321.0,363.0,796.0,5X,United Parcel Service,5X,United Parcel Service,CLE,"Cleveland, OH",PHL,"Philadelphia, PA",6,622,2020,11,G
15.0,15.0,0.0,0.0,743222.0,415.0,895.0,5X,United Parcel Service,5X,United Parcel Service,RDU,"Raleigh/Durham, NC",SDF,"Louisville, KY",7,740,2020,8,G
15.0,15.0,0.0,0.0,778646.0,748.0,1409.0,FX,Federal Express Corporation,FX,Federal Express Corporation,BNA,"Nashville, TN",EWR,"Newark, NJ",6,691,2020,11,G
15.0,15.0,0.0,0.0,878774.0,1020.0,1903.0,FX,Federal Express Corporation,FX,Federal Express Corporation,IND,"Indianapolis, IN",MIA,"Miami, FL",6,691,2020,11,G
15.0,15.0,0.0,0.0,890916.0,326.0,906.0,FX,Federal Express Corporation,FX,Federal Express Corporation,PIT,"Pittsburgh, PA",IND,"Indianapolis, IN",6,691,2020,2,G
15.0,15.0,0.0,0.0,892775.0,516.0,1030.0,FX,Federal Express Corporation,FX,Federal Express Corporation,IND,"Indianapolis, IN",BWI,"Baltimore, MD",6,691,2020,11,G
15.0,15.0,0.0,0.0,904794.0,297.0,667.0,FX,Federal Express Corporation,FX,Federal Express Corporation,IND,"Indianapolis, IN",TYS,"Knoxville, TN",6,691,2020,11,G
15.0,15.0,0.0,0.0,917148.0,326.0,822.0,FX,Federal Express Corporation,FX,Federal Express Corporation,PIT,"Pittsburgh, PA",IND,"Indianapolis, IN",6,691,2020,11,G
15.0,15.0,0.0,0.0,936431.0,844.0,1823.0,FX,Federal Express Corporation,FX,Federal Express Corporation,IND,"Indianapolis, IN",IAH,"Houston, TX",6,691,2020,4,G
15.0,15.0,0.0,0.0,942107.0,249.0,583.0,FX,Federal Express Corporation,FX,Federal Express Corporation,IND,"Indianapolis, IN",BNA,"Nashville, TN",6,691,2020,11,G
15.0,15.0,0.0,0.0,990866.0,261.0,680.0,FX,Federal Express Corporation,FX,Federal Express Corporation,CLE,"Cleveland, OH",IND,"Indianapolis, IN",6,691,2020,5,G
15.0,15.0,0.0,0.0,1014269.0,222.0,563.0,FX,Federal Express Corporation,FX,Federal Express Corporation,IND,"Indianapolis, IN",GRR,"Grand Rapids, MI",6,691,2020,11,G
15.0,15.0,0.0,0.0,1066519.0,622.0,1342.0,FX,Federal Express Corporation,FX,Federal Express Corporation,CLE,"Cleveland, OH",MEM,"Memphis, TN",6,626,2020,11,G
15.0,15.0,0.0,0.0,1072730.0,261.0,597.0,FX,Federal Express Corporation,FX,Federal Express Corporation,IND,"Indianapolis, IN",CLE,"Cleveland, OH",6,626,2020,11,G
15.0,15.0,0.0,0.0,1077326.0,326.0,704.0,FX,Federal Express Corporation,FX,Federal Express Corporation,IND,"Indianapolis, IN",PIT,"Pittsburgh, PA",6,691,2020,5,G
15.0,15.0,0.0,0.0,1086734.0,326.0,678.0,FX,Federal Express Corporation,FX,Federal Express Corporation,IND,"Indianapolis, IN",PIT,"Pittsburgh, PA",6,691,2020,11,G
15.0,15.0,0.0,0.0,1093020.0,432.0,890.0,FX,Federal Express Corporation,FX,Federal Express Corporation,IND,"Indianapolis, IN",ATL,"Atlanta, GA",6,691,2020,5,G
15.0,15.0,0.0,0.0,1097424.0,588.0,1104.0,FX,Federal Express Corporation,FX,Federal Express Corporation,IND,"Indianapolis, IN",PHL,"Philadelphia, PA",6,626,2020,11,G
15.0,15.0,0.0,0.0,1100761.0,829.0,1565.0,FX,Federal Express Corporation,FX,Federal Express Corporation,IND,"Indianapolis, IN",MCO,"Orlando, FL",6,691,2020,11,G
15.0,15.0,0.0,0.0,1108862.0,476.0,928.0,FX,Federal Express Corporation,FX,Federal Express Corporation,IND,"Indianapolis, IN",IAD,"Washington, DC",6,691,2020,11,G
15.0,15.0,0.0,0.0,1118984.0,665.0,1289.0,FX,Federal Express Corporation,FX,Federal Express Corporation,IND,"Indianapolis, IN",JFK,"New York, NY",6,626,2020,11,G
15.0,15.0,0.0,0.0,1120129.0,476.0,971.0,FX,Federal Express Corporation,FX,Federal Express Corporation,IND,"Indianapolis, IN",IAD,"Washington, DC",6,691,2020,5,G
15.0,15.0,0.0,0.0,1149476.0,229.0,563.0,FX,Federal Express Corporation,FX,Federal Express Corporation,IND,"Indianapolis, IN",STL,"St. Louis, MO",6,626,2020,6,G
15.0,15.0,0.0,0.0,1170869.0,381.0,953.0,FX,Federal Express Corporation,FX,Federal Express Corporation,IND,"Indianapolis, IN",MEM,"Memphis, TN",6,626,2020,8,G
15.0,15.0,0.0,0.0,1196300.0,503.0,1091.0,FX,Federal Express Corporation,FX,Federal Express Corporation,IND,"Indianapolis, IN",MSP,"Minneapolis, MN",6,626,2020,11,G
